osm_id,latitude,longitude,source_type,name,industrial,power,plant_source,landuse,man_made,operator
way_1001468427,27.6403152,75.6118369,MINING,,,,,quarry,,
way_1001472444,24.6278835,81.10035,MINING,,,,,quarry,,
way_1001474018,24.2583312,80.9042376,MINING,,,,,quarry,,
way_1001474019,24.2663737,80.8828068,MINING,,,,,quarry,,
way_1001474020,24.2705501,80.8792368,MINING,,,,,quarry,,
way_1001474021,24.2732471,80.8741888,MINING,,,,,quarry,,
way_1001474022,24.2696943,80.8664614,MINING,,,,,quarry,,
way_1001476207,25.4000475,75.0518989,MINING,,,,,quarry,,
way_1001476208,25.4076261,75.0447106,MINING,,,,,quarry,,
way_1001476209,25.4240031,75.0659162,MINING,,,,,quarry,,
way_1001476210,25.4628118,75.09512,MINING,,,,,quarry,,
way_1001476211,25.4524392,75.0846112,MINING,,,,,quarry,,
way_1001476212,25.4336635,75.0799817,MINING,,,,,quarry,,
way_1001476213,25.4315222,75.0702238,MINING,,,,,quarry,,
way_1001476214,25.4370788,75.0718761,MINING,,,,,quarry,,
way_1001481457,27.6080143,75.5446235,MINING,,,,,quarry,,
way_1001503694,27.6072443,75.5679909,MINING,,,,,quarry,,
way_1001503695,27.6043802,75.573382,MINING,,,,,quarry,,
way_1001506478,29.9025421,79.9600571,MINING,,,,,quarry,,
way_1001506479,29.9057158,79.9531558,MINING,,,,,quarry,,
way_1001506480,29.9023909,79.9465335,MINING,,,,,quarry,,
way_1001512976,26.378092,74.5713813,MINING,,,,,quarry,,
way_1001513497,24.6330816,74.6004402,MINING,,,,,quarry,,
way_1001513498,24.6442475,74.6088302,MINING,,,,,quarry,,
way_1001513499,24.6665753,74.613099,MINING,,,,,quarry,,
way_1001513500,24.6831894,74.6117323,MINING,,,,,quarry,,
way_1001516550,29.9015853,79.9773225,MINING,,,,,quarry,,
way_1001516551,29.9138695,79.9558635,MINING,,,,,quarry,,
way_1001516552,29.9146123,79.9597863,MINING,,,,,quarry,,
way_1001768437,26.2606126,76.1594716,MINING,,,,,quarry,,
way_1001787085,24.1100844,80.7599508,MINING,,,,,quarry,,
way_1001787086,24.1430235,80.7921856,MINING,,,,,quarry,,
way_1001787087,24.1296248,80.7869232,MINING,,,,,quarry,,
way_1001789777,24.7793705,74.5796477,MINING,,,,,quarry,,
way_1001789778,24.7104874,74.6102303,MINING,,,,,quarry,,
way_1001789779,24.6991956,74.6158791,MINING,,,,,quarry,,
way_1001789780,24.7034259,74.6126872,MINING,,,,,quarry,,
way_1001789781,24.7208909,74.6078754,MINING,,,,,quarry,,
way_1001789782,24.745993,74.603616,MINING,,,,,quarry,,
way_1001793787,27.7424473,75.913234,MINING,,,,,quarry,,
way_1001793788,27.7632854,75.9024274,MINING,,,,,quarry,,
way_1001793789,27.7575513,75.9163964,MINING,,,,,quarry,,
way_1001793790,27.7627919,75.9229409,MINING,,,,,quarry,,
