latitude,longitude,site_name,site_type,category,source,osm_id,osm_type
28.5898733,82.1717314,,forest,FOREST,OpenStreetMap,462638250,way
28.5708459,82.1778396,,forest,FOREST,OpenStreetMap,462638254,way
28.5967053,82.2198152,,forest,FOREST,OpenStreetMap,462739247,way
28.5945593,82.2305302,,forest,FOREST,OpenStreetMap,462739248,way
28.5926088,82.2272572,,forest,FOREST,OpenStreetMap,462739249,way
28.5844348,82.232128,,forest,FOREST,OpenStreetMap,462739250,way
28.5811521,82.2385282,,forest,FOREST,OpenStreetMap,462739251,way
28.5753934,82.2444575,,forest,FOREST,OpenStreetMap,462739744,way
28.5944751,82.3023003,,forest,FOREST,OpenStreetMap,462801290,way
28.5900159,82.3157184,,forest,FOREST,OpenStreetMap,462801291,way
28.5849859,82.3006304,,forest,FOREST,OpenStreetMap,462801292,way
28.586196,82.3280518,,forest,FOREST,OpenStreetMap,462801293,way
28.585837,82.3129031,,forest,FOREST,OpenStreetMap,462801294,way
28.5829495,82.3055622,,forest,FOREST,OpenStreetMap,462801298,way
28.5862056,82.3225731,,forest,FOREST,OpenStreetMap,462801300,way
28.5832756,82.2846502,,forest,FOREST,OpenStreetMap,462928198,way
28.5836493,82.289438,,forest,FOREST,OpenStreetMap,462928199,way
28.5826146,82.2835627,,forest,FOREST,OpenStreetMap,462928200,way
28.5726473,82.2756749,,forest,FOREST,OpenStreetMap,462928201,way
28.5671267,82.2779428,,forest,FOREST,OpenStreetMap,462928202,way
28.5854431,82.2846968,,forest,FOREST,OpenStreetMap,462928203,way
28.5911541,82.3373543,,forest,FOREST,OpenStreetMap,463073878,way
28.5758535,82.3160016,,forest,FOREST,OpenStreetMap,463073879,way
28.5976616,82.2434784,,forest,FOREST,OpenStreetMap,463073880,way
28.5977148,82.2491981,,forest,FOREST,OpenStreetMap,463073881,way
28.5764419,82.2641422,,forest,FOREST,OpenStreetMap,463073882,way
28.594991,82.3354949,,forest,FOREST,OpenStreetMap,463073883,way
28.6087202,82.3247662,,forest,FOREST,OpenStreetMap,463073884,way
28.5740702,82.3172884,,forest,FOREST,OpenStreetMap,463073887,way
28.5956329,82.3459256,,forest,FOREST,OpenStreetMap,463073892,way
28.5647117,82.3211244,,forest,FOREST,OpenStreetMap,463073896,way
28.5712065,82.3219715,,forest,FOREST,OpenStreetMap,463073897,way
28.5779788,82.2072357,,forest,FOREST,OpenStreetMap,463073898,way
28.5796548,82.2183351,,forest,FOREST,OpenStreetMap,463073899,way
28.5748722,82.2280411,,forest,FOREST,OpenStreetMap,463073900,way
28.6107401,82.3085168,,forest,FOREST,OpenStreetMap,463073901,way
28.5641472,82.2251974,,forest,FOREST,OpenStreetMap,463073902,way
28.591915,82.3402882,,forest,FOREST,OpenStreetMap,463073903,way
28.6043684,82.3058937,,forest,FOREST,OpenStreetMap,463073904,way
28.6000753,82.3385773,,forest,FOREST,OpenStreetMap,463073905,way
28.5927394,82.3409269,,forest,FOREST,OpenStreetMap,463073906,way
28.5720297,82.2567012,,forest,FOREST,OpenStreetMap,463073907,way
28.6065644,82.3098031,,forest,FOREST,OpenStreetMap,463073908,way
28.5951647,82.348472,,forest,FOREST,OpenStreetMap,463073909,way
28.5869281,82.3527418,,forest,FOREST,OpenStreetMap,463073910,way
28.5730036,82.2594867,,forest,FOREST,OpenStreetMap,463073911,way
28.5734274,82.2159858,,forest,FOREST,OpenStreetMap,463073912,way
28.5777721,82.2239154,,forest,FOREST,OpenStreetMap,463073913,way
28.5493683,82.3181219,,forest,FOREST,OpenStreetMap,463074818,way
28.5570861,82.3392106,,forest,FOREST,OpenStreetMap,463074819,way
28.5594454,82.3569093,,forest,FOREST,OpenStreetMap,463074820,way
28.5602411,82.3716881,,forest,FOREST,OpenStreetMap,463074821,way
28.5596444,82.3498888,,forest,FOREST,OpenStreetMap,463074822,way
28.5688447,82.3340867,,forest,FOREST,OpenStreetMap,463074823,way
28.558646,82.364029,,forest,FOREST,OpenStreetMap,463074824,way
28.5610969,82.3579634,,forest,FOREST,OpenStreetMap,463074825,way
28.5565304,82.1854203,,forest,FOREST,OpenStreetMap,463115174,way
28.5602928,82.211772,,forest,FOREST,OpenStreetMap,463115175,way
28.5683232,82.1961738,,forest,FOREST,OpenStreetMap,463115177,way
28.5675018,82.2106865,,forest,FOREST,OpenStreetMap,463115178,way
28.559815,82.1987535,,forest,FOREST,OpenStreetMap,463115180,way
28.5544797,82.1920826,,forest,FOREST,OpenStreetMap,463115182,way
28.5533898,82.2105293,,forest,FOREST,OpenStreetMap,463115854,way
28.5450674,82.2053928,,forest,FOREST,OpenStreetMap,463115855,way
28.5339377,82.222196,,forest,FOREST,OpenStreetMap,463115856,way
28.5465214,82.217699,,forest,FOREST,OpenStreetMap,463115857,way
28.5463521,82.1980715,,forest,FOREST,OpenStreetMap,463115858,way
28.5603624,82.234122,,forest,FOREST,OpenStreetMap,463401693,way
28.5443397,82.2536226,,forest,FOREST,OpenStreetMap,463407041,way
28.550451,82.2314531,,forest,FOREST,OpenStreetMap,463424631,way
28.5573855,82.223489,,forest,FOREST,OpenStreetMap,463424632,way
28.5456087,82.2339058,,forest,FOREST,OpenStreetMap,463424633,way
28.5560742,82.2291895,,forest,FOREST,OpenStreetMap,463424634,way
28.5375947,82.233087,,forest,FOREST,OpenStreetMap,463424635,way
28.5377125,82.238694,,forest,FOREST,OpenStreetMap,463424636,way
28.5329217,82.2451614,,forest,FOREST,OpenStreetMap,463424638,way
28.525244,82.2442596,,forest,FOREST,OpenStreetMap,463425473,way
28.5290799,82.2356049,,forest,FOREST,OpenStreetMap,463425474,way
28.5179672,82.2355218,,forest,FOREST,OpenStreetMap,463425475,way
28.5296784,82.2532652,,forest,FOREST,OpenStreetMap,463469771,way
28.5235363,82.2552402,,forest,FOREST,OpenStreetMap,463469772,way
28.5318049,82.2488972,,forest,FOREST,OpenStreetMap,463469773,way
28.5227995,82.2505661,,forest,FOREST,OpenStreetMap,463469774,way
28.5642057,82.2444878,,forest,FOREST,OpenStreetMap,463473105,way
28.5645703,82.2811688,,forest,FOREST,OpenStreetMap,463502080,way
28.552354,82.274692,,forest,FOREST,OpenStreetMap,463502084,way
28.5605199,82.2645422,,forest,FOREST,OpenStreetMap,463502087,way
28.5578997,82.2846826,,forest,FOREST,OpenStreetMap,463502088,way
28.5517822,82.2622938,,forest,FOREST,OpenStreetMap,463502089,way
28.5470902,82.2953804,,forest,FOREST,OpenStreetMap,463504916,way
28.5595017,82.2961255,,forest,FOREST,OpenStreetMap,463504917,way
28.5483229,82.2579334,,forest,FOREST,OpenStreetMap,463505075,way
28.5377216,82.2583557,,forest,FOREST,OpenStreetMap,463505078,way
28.5417712,82.2608426,,forest,FOREST,OpenStreetMap,463505085,way
28.5413827,82.2850006,,forest,FOREST,OpenStreetMap,463521322,way
28.5428889,82.2788247,,forest,FOREST,OpenStreetMap,463521323,way
28.5411961,82.2834376,,forest,FOREST,OpenStreetMap,463521324,way
28.5393983,82.2914445,,forest,FOREST,OpenStreetMap,463521325,way
28.5421503,82.2836272,,forest,FOREST,OpenStreetMap,463521326,way
28.5421702,82.3076295,,forest,FOREST,OpenStreetMap,463625829,way
28.5422132,82.3115191,,forest,FOREST,OpenStreetMap,463625830,way
28.5601848,82.3073976,,forest,FOREST,OpenStreetMap,463625831,way
28.5573786,82.311685,,forest,FOREST,OpenStreetMap,463625832,way
28.5467482,82.308026,,forest,FOREST,OpenStreetMap,463625833,way
28.5525843,82.3154736,,forest,FOREST,OpenStreetMap,463625834,way
28.5531336,82.3074816,,forest,FOREST,OpenStreetMap,463625835,way
28.555773,82.3152362,,forest,FOREST,OpenStreetMap,463625836,way
28.548848,82.3143242,,forest,FOREST,OpenStreetMap,463625837,way
28.5556729,82.3274368,,forest,FOREST,OpenStreetMap,463642043,way
28.5387915,82.3167113,,forest,FOREST,OpenStreetMap,463642044,way
28.5553346,82.3347724,,forest,FOREST,OpenStreetMap,463642045,way
28.5556875,82.3255986,,forest,FOREST,OpenStreetMap,463642046,way
28.5561194,82.3247444,,forest,FOREST,OpenStreetMap,463642047,way
28.5461771,82.3254698,,forest,FOREST,OpenStreetMap,463642048,way
28.5566313,82.3327386,,forest,FOREST,OpenStreetMap,463642049,way
28.541334,82.3234591,,forest,FOREST,OpenStreetMap,463642050,way
28.5434054,82.3229559,,forest,FOREST,OpenStreetMap,463642051,way
28.5473572,82.3300976,,forest,FOREST,OpenStreetMap,463642052,way
28.5389247,82.3234952,,forest,FOREST,OpenStreetMap,463642053,way
28.5484022,82.3276166,,forest,FOREST,OpenStreetMap,463642054,way
28.5249314,82.3374162,,forest,FOREST,OpenStreetMap,463680641,way
28.5246729,82.3176242,,forest,FOREST,OpenStreetMap,463680642,way
28.5270357,82.3091751,,forest,FOREST,OpenStreetMap,463680643,way
28.5234376,82.3308523,,forest,FOREST,OpenStreetMap,463680644,way
28.5375803,82.3546968,,forest,FOREST,OpenStreetMap,463680645,way
28.5468385,82.3668427,,forest,FOREST,OpenStreetMap,463680646,way
28.5522849,82.3692735,,forest,FOREST,OpenStreetMap,463680647,way
28.5209332,82.3218821,,forest,FOREST,OpenStreetMap,463680648,way
28.5487897,82.3563355,,forest,FOREST,OpenStreetMap,463680649,way
28.5651348,82.3474264,,forest,FOREST,OpenStreetMap,463680651,way
28.5229269,82.3140482,,forest,FOREST,OpenStreetMap,463680652,way
28.5318315,82.3459797,,forest,FOREST,OpenStreetMap,463680653,way
28.5282001,82.2914353,,forest,FOREST,OpenStreetMap,463719506,way
28.5240066,82.2848212,,forest,FOREST,OpenStreetMap,463719507,way
28.5291716,82.2773191,,forest,FOREST,OpenStreetMap,463719508,way
28.5294552,82.2834196,,forest,FOREST,OpenStreetMap,463719509,way
28.5283371,82.2657459,,forest,FOREST,OpenStreetMap,463719510,way
28.5276476,82.2885869,,forest,FOREST,OpenStreetMap,463719511,way
28.5325492,82.2884623,,forest,FOREST,OpenStreetMap,463719512,way
28.5229647,82.2621959,,forest,FOREST,OpenStreetMap,463719513,way
28.5106629,82.2790952,,forest,FOREST,OpenStreetMap,463723931,way
28.5179717,82.2811144,,forest,FOREST,OpenStreetMap,463723932,way
28.5137739,82.2555655,,forest,FOREST,OpenStreetMap,463723933,way
28.5144589,82.2654078,,forest,FOREST,OpenStreetMap,463723934,way
28.5334497,82.2980103,,forest,FOREST,OpenStreetMap,463725167,way
28.5464277,82.3470296,,forest,FOREST,OpenStreetMap,463725168,way
28.54485,82.3122987,,forest,FOREST,OpenStreetMap,463725169,way
28.5367017,82.2923792,,forest,FOREST,OpenStreetMap,463725170,way
28.5389302,82.2884918,,forest,FOREST,OpenStreetMap,463725171,way
28.5519331,82.3288559,,forest,FOREST,OpenStreetMap,463725172,way
28.5378897,82.3019432,,forest,FOREST,OpenStreetMap,463725173,way
28.5383422,82.2949692,,forest,FOREST,OpenStreetMap,463725174,way
27.9596992,83.5843726,,wood,FOREST,OpenStreetMap,463846277,way
28.7427911,83.7629584,,wood,FOREST,OpenStreetMap,463927550,way
28.6139819,77.2690719,,wood,FOREST,OpenStreetMap,464265916,way
28.6178695,77.2670737,Restricted Forest Area,wood,FOREST,OpenStreetMap,464265920,way
25.3459272,83.0126839,,forest,FOREST,OpenStreetMap,465140796,way
28.2732145,83.9635545,,wood,FOREST,OpenStreetMap,465393788,way
