osm_id,latitude,longitude,source_type,name,industrial,power,plant_source,landuse,man_made,operator
way_1312431857,28.2590953,78.2894165,INDUSTRIAL,,,,,industrial,,
way_1313084491,27.4587135,79.1987939,INDUSTRIAL,,,,,industrial,,
way_1313836784,27.4264687,79.2175185,INDUSTRIAL,,,,,industrial,,
way_1315074879,27.0105764,74.982765,INDUSTRIAL,,,,,industrial,,
way_1315074884,27.0241701,74.994902,INDUSTRIAL,,,,,industrial,,
way_1315461641,30.5200719,76.6586439,INDUSTRIAL,,,,,industrial,,
way_1315893277,25.4084024,75.6393946,INDUSTRIAL,,,,,industrial,,
way_1315957843,27.8661786,79.3412574,INDUSTRIAL,,,,,industrial,,
way_1315957845,27.8688693,79.3370886,INDUSTRIAL,,,,,industrial,,
way_1316151467,27.8830577,79.299767,INDUSTRIAL,,,,,industrial,,
way_1316151469,27.8818889,79.3027041,INDUSTRIAL,,,,,industrial,,
way_1316217199,27.8772787,79.3233235,INDUSTRIAL,,,,,industrial,,
way_1316717312,27.8205018,79.3444828,INDUSTRIAL,,,,,industrial,,
way_1318605608,28.7327216,77.1921918,INDUSTRIAL,Burari Bus Depot 1,bus_depot,,,industrial,,Delhi Transport Corporation
way_1318750311,29.3416866,76.9817178,INDUSTRIAL,Panipat Bus Depot,bus_depot,,,industrial,,Haryana Roadways
way_1318751060,27.9552347,77.3523181,INDUSTRIAL,JBM Electric Vehicles Private Limited,,,,industrial,,
way_1319050609,30.5606303,77.0494451,INDUSTRIAL,,,,,industrial,,
way_1319050659,30.5699623,76.8854752,INDUSTRIAL,,,,,industrial,,
way_1319691673,30.6056211,76.9909859,INDUSTRIAL,,,,,industrial,,
way_1319772336,30.517176,76.8080564,INDUSTRIAL,Container Corporation of India (CONCOR),,,,industrial,container_terminal,
way_1320710185,31.350283,84.666532,INDUSTRIAL,,,plant,solar,,,
way_1320762260,31.4113183,84.5940702,INDUSTRIAL,,,plant,solar,,,
way_1320762264,31.4123462,84.6027296,INDUSTRIAL,,,plant,solar,,,
way_1321113248,31.1276809,84.5806793,INDUSTRIAL,,,plant,solar,,,
way_1321600368,31.1946141,83.832947,INDUSTRIAL,,,plant,solar,,,
way_1321600369,31.1946167,83.8331235,INDUSTRIAL,,,plant,solar,,,
way_1321600370,31.1947009,83.8330927,INDUSTRIAL,,,plant,solar,,,
way_1321619072,31.2081148,83.826679,INDUSTRIAL,,,plant,solar,,,
way_1321900149,31.210925,83.8302498,INDUSTRIAL,,,plant,solar,,,
